Title,Authors,Keywords,Date,Abstract,Language,Citations,tokens
An improved edge profile based method for text detection in images of natural scenes,"['Ikica A.', 'Peer P.']","['computer vision', 'edge profiles', 'natural scenes', 'text detection']",2011,"Text detection in natural images has gained much attention in the last years as it is a primary step towards fully autonomous text recognition. Understanding the visual text content is of a vital importance in many applicative areas from the internet search engines to the PDA signboard translators. Images of natural scenes, however, pose numerous difficulties comPared to the traditional scanned documents. They mainly contain diverse complex text of different sizes, styles and colors with complex backgrounds. Furthermore, such images are captured under variable lighting conditions and are often affected by the skew distortion and perspective projections. In this article an improved edge profile based text detection method is presented. It uses a set of heuristic rules to eliminate detection of non-text areas. The method is evaluated on CVL OCR DB, an annotated image database of text in natural scenes.",en,11,"['text', 'detection', 'natural', 'image', 'gained', 'much', 'attention', 'last', 'year', 'primary', 'step', 'towards', 'fully', 'autonomous', 'text', 'recognition', 'understanding', 'visual', 'text', 'content', 'vital', 'importance', 'many', 'applicative', 'area', 'internet', 'search', 'engine', 'pda', 'signboard', 'translator', 'image', 'natural', 'scene', 'however', 'pose', 'numerous', 'difficulty', 'compared', 'traditional', 'scanned', 'document', 'mainly', 'contain', 'diverse', 'complex', 'text', 'different', 'size', 'style', 'color', 'complex', 'background', 'furthermore', 'image', 'captured', 'variable', 'lighting', 'condition', 'often', 'affected', 'skew', 'distortion', 'perspective', 'projection', 'article', 'improved', 'edge', 'profile', 'based', 'text', 'detection', 'presented', 'us', 'set', 'heuristic', 'rule', 'eliminate', 'detection', 'non-text', 'area', 'evaluated', 'cvl', 'ocr', 'db', 'annotated', 'image', 'database', 'text', 'natural', 'scene']"
Improving mobile operator information system efficiency through EAI,"['Rozman I.', 'Juric M.B.', 'Hericko M.', 'Vezocnik I.', 'Krisper M.']","['CORBA', 'EAI', 'Integration', 'J2EE', 'Methods', 'Web services']",2004,"Ability to integrate legacy assets and reusing their functionality in modern web-enabled information systems are important features of new-generation technologies. In the paper organisational challenges are discussed, a multiphase integration procedure is proposed, which enables step-by-step integration of legacy applications and extension of their functionality with new generation technologies. A decision model for selecting the most appropriate technology infrastructure is presented and several technologies are evaluated. The paper, which also presents a integration case study of a major mobile phone operator company, contributes to the general understanding of legacy systems integration, gives a solid basis for making a decision about the underlying technology and presents an integration procedure that provably works in practice.",en,1,"['ability', 'integrate', 'legacy', 'asset', 'reusing', 'functionality', 'modern', 'web-enabled', 'information', 'system', 'important', 'feature', 'new-generation', 'technology', 'organisational', 'challenge', 'discussed', 'multiphase', 'integration', 'procedure', 'proposed', 'enables', 'step-by-step', 'integration', 'legacy', 'application', 'extension', 'functionality', 'new', 'generation', 'technology', 'decision', 'model', 'selecting', 'appropriate', 'technology', 'infrastructure', 'presented', 'several', 'technology', 'evaluated', 'present', 'integration', 'case', 'major', 'mobile', 'phone', 'operator', 'company', 'contributes', 'general', 'understanding', 'legacy', 'system', 'integration', 'give', 'solid', 'basis', 'making', 'decision', 'underlying', 'technology', 'present', 'integration', 'procedure', 'provably', 'work', 'practice', 'mobile phone']"
Learning sign language through multimedia,"['Jaklic Ales', 'Vodopivec Dora', 'Komac Vito']",[],1995,"Traditionally, sign languages used by the deaf can be learned from teachers, books or video tapes. Digital multimedia together with CD ROM technology now enables production of interactive textbooks and dictionaries for sign languages on personal computers. The paper presents the key technological and contents requirements for learning to sign from a point of view of deaf as well as hearing persons. The technological requirements are then measured up with the current Multimedia PC Level 2 specifications. An alternative representation for sign language based on edge images derived from sequences of video frames is proposed to achieve higher video compression ratios. The fulfilment of contents requirements is demonstrated by an example of Sign Language Dictionary and Tutor.",en,5,"['traditionally', 'sign', 'language', 'used', 'deaf', 'learned', 'teacher', 'book', 'video', 'tape', 'digital', 'multimedia', 'together', 'cd', 'rom', 'technology', 'enables', 'production', 'interactive', 'textbook', 'dictionary', 'sign', 'language', 'personal', 'computer', 'present', 'key', 'technological', 'content', 'requirement', 'learning', 'sign', 'point', 'view', 'deaf', 'well', 'hearing', 'person', 'technological', 'requirement', 'measured', 'current', 'multimedia', 'pc', 'level', 'specification', 'alternative', 'representation', 'sign', 'language', 'based', 'edge', 'image', 'derived', 'sequence', 'video', 'frame', 'proposed', 'achieve', 'higher', 'video', 'compression', 'ratio', 'fulfilment', 'content', 'requirement', 'demonstrated', 'example', 'sign', 'language', 'dictionary', 'tutor']"
Fuzzy user modeling for adaptation in educational hypermedia,['Kavcic A.'],[],2004,"Education is a dominating application area for adaptive hypermedia. Web-based adaptive educational systems incorporate complex intelligent tutoring techniques, which enable the system to recognize an individual user and their needs, and consequently adapt the instructional sequence. The personalization is done through the user model, which collects information about the user. Since the description of user knowledge and features also involves imprecision and vagueness, a user model has to be designed that is able to deal with this uncertainty. This paper presents a way of describing the uncertainty of user knowledge, which is used for user knowledge modeling in an adaptive educational system. The system builds on the concept domain model. A fuzzy user model is proposed to deal with vagueness in the user's knowledge description. The model uses fuzzy sets for knowledge representation and linguistic rules for model updating. The data from the fuzzy user model form the basis for the system adaptation, which implements various navigation support techniques. The evaluation of the presented educational system has shown that the system and its adaptation techniques provide a valuable, easy-to-use tool, which positively affects user knowledge acquisition and, therefore, leads to better learning results.",en,77,"['education', 'dominating', 'application', 'area', 'adaptive', 'hypermedia', 'web-based', 'adaptive', 'educational', 'system', 'incorporate', 'complex', 'intelligent', 'tutoring', 'technique', 'enable', 'system', 'recognize', 'individual', 'user', 'need', 'consequently', 'adapt', 'instructional', 'sequence', 'personalization', 'done', 'user', 'model', 'collect', 'information', 'user', 'since', 'description', 'user', 'knowledge', 'feature', 'involves', 'imprecision', 'vagueness', 'user', 'model', 'designed', 'able', 'deal', 'uncertainty', 'present', 'way', 'describing', 'uncertainty', 'user', 'knowledge', 'used', 'user', 'knowledge', 'modeling', 'adaptive', 'educational', 'system', 'system', 'build', 'concept', 'domain', 'model', 'fuzzy', 'user', 'model', 'proposed', 'deal', 'vagueness', 'user', 'knowledge', 'description', 'model', 'us', 'fuzzy', 'set', 'knowledge', 'representation', 'linguistic', 'rule', 'model', 'updating', 'data', 'fuzzy', 'user', 'model', 'form', 'basis', 'system', 'adaptation', 'implement', 'various', 'navigation', 'support', 'technique', 'evaluation', 'presented', 'educational', 'system', 'shown', 'system', 'adaptation', 'technique', 'provide', 'valuable', 'easy-to-use', 'tool', 'positively', 'affect', 'user', 'knowledge', 'acquisition', 'therefore', 'lead', 'better', 'learning', 'intelligent tutoring']"
Visualization in machine learning,"['Mladenic Dunja', 'Solina Franc']",[],1992,"The paper presents a method for visualizing data in machine learning. The method is based on the parallel coordinates method which was previously used for visualizing multidimensional geometry. The method, implemented in a rule learning system ATRIS, enables visualization of domain data (attribute-value tuples) and concept descriptions (if-then rules). Results of the experiments on a real-world domain illustrate the usefulness of the method for analysing machine learning problems.",en,0,"['present', 'visualizing', 'data', 'machine', 'learning', 'based', 'parallel', 'coordinate', 'previously', 'used', 'visualizing', 'multidimensional', 'geometry', 'implemented', 'rule', 'learning', 'system', 'atris', 'enables', 'visualization', 'domain', 'data', 'attribute-value', 'tuples', 'concept', 'description', 'if-then', 'rule', 'experiment', 'real-world', 'domain', 'illustrate', 'usefulness', 'analysing', 'machine', 'learning', 'problem']"
Scalability of learning impact on complex parameters in recurrent neural networks,"['Ster B.', 'Dobnikar A.']","['Learning automata', 'Network size', 'Problem extent', 'Recurrent neural networks', 'Scalability', 'Structural parameters']",2009,"The impact of problem extents and network sizes on learning in recurrent neural networks is analysed in terms of structural parameters of related graphs. In previous work the influence of learning on the changes of the typical parameters such as characteristic path length, clustering coefficient, degree distribution and entropy, was investigated. In the present work the focus is enlarged to the scaling problem of the learning paradigm. The results prove the scalability of learning procedures due to the retained dynamics of the parameters during learning with different problem extents and network sizes.",en,0,"['impact', 'problem', 'extent', 'network', 'size', 'learning', 'recurrent', 'neural', 'network', 'analysed', 'term', 'structural', 'parameter', 'related', 'graph', 'previous', 'work', 'influence', 'learning', 'change', 'typical', 'parameter', 'characteristic', 'path', 'length', 'clustering', 'coefficient', 'degree', 'distribution', 'entropy', 'investigated', 'present', 'work', 'focus', 'enlarged', 'scaling', 'problem', 'learning', 'paradigm', 'prove', 'scalability', 'learning', 'procedure', 'due', 'retained', 'dynamic', 'parameter', 'learning', 'different', 'problem', 'extent', 'network', 'size', 'recurrent neural']"
The EthnoMuse digital library: Conceptual representation and annotation of ethnomusicological materials,"['Strle G.', 'Marolt M.']","['CIDOC CRM', 'Digital libraries', 'Folk song and music', 'FRBRoo', 'Music information retrieval']",2012,"The paper presents two vital aspects of the EthnoMuse digital library. We first present the development of a flexible data model through FRBRoo and CIDOC CRM conceptualization of processes and relations in folk song and music realizations. The approach is novel in that it conceptualizes and integrates various folkloristic and ethnomusicological materials, and also standardizes the workflow of production and post-production processes related to recording and documenting of folk song and music. We also present how novel music information retrieval techniques were integrated into the library to provide support for annotation of its contents. Two case studies are presented: automatic segmentation and labeling of field recordings, and transcription of bell chiming recordings.",en,3,"['present', 'two', 'vital', 'aspect', 'ethnomuse', 'digital', 'library', 'first', 'present', 'development', 'flexible', 'data', 'model', 'frbroo', 'cidoc', 'crm', 'conceptualization', 'process', 'relation', 'folk', 'song', 'music', 'realization', 'approach', 'novel', 'conceptualizes', 'integrates', 'various', 'folkloristic', 'ethnomusicological', 'material', 'standardizes', 'workflow', 'production', 'post-production', 'process', 'related', 'recording', 'documenting', 'folk', 'song', 'music', 'present', 'novel', 'music', 'information', 'retrieval', 'technique', 'integrated', 'library', 'provide', 'support', 'annotation', 'content', 'two', 'case', 'presented', 'automatic', 'segmentation', 'labeling', 'field', 'recording', 'transcription', 'bell', 'chiming', 'recording', 'folk song', 'folk song', 'bell chiming']"
Robust localization using panoramic view-based recognition,"['Jogan M.', 'Leonardis A.']",[],2000,"The results of recent studies on the possibility of spatial localization from panoramic images have shown good prospects for view-based methods. The major advantages of these methods are a wide field-of-view, capability of modelling cluttered environments, and flexibility in the learning phase. The redundant information captured in similar views is efficiently handled by the eigenspace approach. However, the standard approaches are sensitive to noise and occlusion. In this paper, we present a method of view-based localization in a robust framework that solves these problems to a large degree. Experimental results on a large set of real panoramic images demonstrate the effectiveness of the approach and the level of achieved robustness.",en,47,"['recent', 'possibility', 'spatial', 'localization', 'panoramic', 'image', 'shown', 'good', 'prospect', 'view-based', 'major', 'advantage', 'wide', 'field-of-view', 'capability', 'modelling', 'cluttered', 'environment', 'flexibility', 'learning', 'phase', 'redundant', 'information', 'captured', 'similar', 'view', 'efficiently', 'handled', 'eigenspace', 'approach', 'however', 'standard', 'approach', 'sensitive', 'noise', 'occlusion', 'present', 'view-based', 'localization', 'robust', 'framework', 'solves', 'problem', 'large', 'degree', 'experimental', 'large', 'set', 'real', 'panoramic', 'image', 'demonstrate', 'effectiveness', 'approach', 'level', 'achieved', 'robustness']"
Qualitative assessment dynamics - Complementing trust methods for decision making,['Trcek D.'],"['Decision making', 'Multi-agent systems', 'Simulation', 'Trust management', 'User modeling']",2014,"Trust is not only one key ingredient of prosperous organizations and societies, but also an essential factor in decision-making processes. And when it comes to trust, the latest advances in computing sciences area are increasingly supporting the related processes by deployment of so-called trust management systems. These systems are slowly advancing from their early stages of evolution toward more sophisticated and already operationally deployable solutions. As there seems to be no Swiss-army knife like methodology for trust management, it is reasonable to assume that not only one, but a few of them will be deployed in the future, depending on their basic principles of functioning,purposes and contexts of use. Therefore there still exists a gap in this area with unaddressed issues where humans (or humans-like agents) would be in focus. Quality Assessment Dynamics, QAD, which is presented in this paper, is taking these issues into account. It is based on operands and operators that model human ways of reasoning as described in many natural languages. Further, it is a formal system and therefore enabled for deployment in computing environments. This way QAD complements existing trust management methods and provides additional means for decision making through deployment in simulations and in trust management engines, while being understandable to ordinary users without requiring sophisticated expert knowledge.",en,1,"['trust', 'one', 'key', 'ingredient', 'prosperous', 'organization', 'society', 'essential', 'factor', 'decision-making', 'process', 'come', 'trust', 'latest', 'advance', 'computing', 'science', 'area', 'increasingly', 'supporting', 'related', 'process', 'deployment', 'so-called', 'trust', 'management', 'system', 'system', 'slowly', 'advancing', 'early', 'stage', 'evolution', 'toward', 'sophisticated', 'already', 'operationally', 'deployable', 'solution', 'seems', 'swiss-army', 'knife', 'like', 'trust', 'management', 'reasonable', 'assume', 'one', 'deployed', 'future', 'depending', 'basic', 'principle', 'functioning', 'context', 'use', 'therefore', 'still', 'exists', 'gap', 'area', 'unaddressed', 'issue', 'human', 'humans-like', 'agent', 'focus', 'quality', 'assessment', 'dynamic', 'qad', 'presented', 'taking', 'issue', 'account', 'based', 'operand', 'operator', 'model', 'human', 'way', 'reasoning', 'described', 'many', 'natural', 'language', 'formal', 'system', 'therefore', 'enabled', 'deployment', 'computing', 'environment', 'way', 'qad', 'complement', 'existing', 'trust', 'management', 'provides', 'additional', 'mean', 'decision', 'making', 'deployment', 'simulation', 'trust', 'management', 'engine', 'understandable', 'ordinary', 'user', 'without', 'requiring', 'sophisticated', 'expert', 'knowledge']"
Universal takagi-sugeno fuzzy controller core implemented in a PLD device,"['Oseli D.', 'Mraz M.', 'Zimic N.']",[],2004,"Fuzzy logic controllers are nowadays mostly implemented as software code and run on conventional microprocessors. If there is a need for high speed processing, the controller must be implemented in hardware. One of the solutions is implementing a fuzzy logic controller in a programmable logic device. Taking into consideration some initial limitations, a universal fuzzy controller core can be constructed. Such controller can be quickly adapted to various system transfer functions, even while the controller is operating. This paper outlines some important design issues that we came across while constructing such fuzzy controller cores.",en,0,"['fuzzy', 'logic', 'controller', 'nowadays', 'mostly', 'implemented', 'software', 'code', 'run', 'conventional', 'microprocessor', 'need', 'high', 'speed', 'processing', 'controller', 'must', 'implemented', 'hardware', 'one', 'solution', 'implementing', 'fuzzy', 'logic', 'controller', 'programmable', 'logic', 'device', 'taking', 'consideration', 'initial', 'limitation', 'universal', 'fuzzy', 'controller', 'core', 'constructed', 'controller', 'quickly', 'adapted', 'various', 'system', 'transfer', 'function', 'even', 'controller', 'operating', 'outline', 'important', 'design', 'issue', 'came', 'across', 'constructing', 'fuzzy', 'controller', 'core']"
